nu1 nu2 nu3  J Ka Kc               E         unc transitions Gamma   Nb     Etrove  Obs-Calc
  1   0   0 15  4 11  4034.223024519 0.001565276           6    A"  123  4034.7209  0.497875
  3   1   0 20  5 15 12137.681592930 0.002088071           1    A" 1773 12137.1771  0.504493
  3   1   0 20  0 20 11685.257028472 0.001106465           2    A' 1761 11684.7512  0.505828
  3   0   0 10  0 10 10376.804111416 0.003013305           5    A' 1189 10377.3206  0.516489
  1   1   0 10  1 10  4894.384824233 0.001135785           5    A'  184  4893.8623  0.522524
  1   1   0 10  1  9  4895.196857837 0.001135789           5    A"  161  4894.6721  0.524758
  1   0   0 20  3 17  3990.086528248 0.001603143           4    A"  101  3990.6126  0.526072
  1   0   0 20  3 18  3990.084317290 0.003052878           1    A'  115  3990.6124  0.528083
  4   0   0 20  3 17 13786.935595492 0.002078465           8    A" 2573 13787.4794  0.543805
  4   0   0 20  3 18 13786.934820768 0.002068823           6    A' 2844 13787.4794  0.544579
  3   0   0  0  0  0 10322.289537550 0.003000000           1    A'  130 10321.7422  0.547338
  1   0   0 10  4  6  3969.748998712 0.001539494           2    A'  117  3970.3024  0.553401
  2   0   0 15  6  9  7825.729082828 0.001337045           2    A"  607  7825.1705  0.558583
  2   0   0 15  6 10  7825.729089442 0.001337025           2    A'  545  7825.1705  0.558589
  1   1   0 10  4  6  5191.516277740 0.002218112           6    A'  214  5190.9517  0.564578
  1   1   0 10  4  7  5191.516295920 0.002218115           6    A"  188  5190.9517  0.564596
  3   1   0 20  1 20 11701.888535045 0.002068821           1    A' 1771 11702.4565  0.567965
  1   2   0 15  4 12  6461.314503560 0.006814693           2    A'  336  6461.8887  0.574196
  1   2   0 15  4 11  6461.314500114 0.006814697           2    A"  376  6461.8887  0.574200
  0   1   0 15  1 14  1379.239920903 0.001077073           3    A'   14  1379.8152  0.575279
  3   2   0 20  4 17 13119.561525553 0.002078484           2    A" 2221 13118.9839  0.577626
  3   2   0 20  4 16 13119.561503280 0.002078472           2    A' 2457 13118.9838  0.577703
  1   1   0 10  5  6  5368.391788494 0.002227114           3    A'  230  5368.9723  0.580512
  1   1   0 10  5  5  5368.391786674 0.002227110           3    A"  203  5368.9723  0.580513
  3   2   0 10  0 10 12666.710544227 0.002029781           2    A' 2062 12667.2944  0.583856
  3   1   0  0  0  0 11478.001437550 0.002000000           1    A'  172 11478.5864  0.584962
  3   0   0 10  6  4 11006.778283843 0.006009999           4    A' 1398 11006.1933  0.584984
  3   0   0 10  6  5 11006.778265414 0.006013321           4    A" 1247 11006.1909  0.587365
  1   2   0 20  3 18  6406.714874201 0.006823490           1    A'  352  6407.3086  0.593726
  1   2   0 20  3 17  6406.714973677 0.006823491           1    A"  314  6407.3089  0.593926
  0   0   1 15  7  8  1809.333671012 0.000632471           3    A'   23  1808.7343  0.599371
  0   0   1 15  7  9  1809.333674396 0.000632483           3    A"   27  1808.7343  0.599374
  1   0   1 15  4 11  4755.173149509 0.001584452           4    A"  177  4754.5705  0.602650
  1   0   1 15  4 12  4755.173161717 0.001584429           4    A'  157  4754.5705  0.602662
  0   0   1 20  6 15  1643.139740663 0.000721122           5    A"   17  1642.5360  0.603741
  0   0   1 20  6 14  1643.139774794 0.000721123           5    A'   21  1642.5360  0.603775
  1   0   0 20  2 19  3894.570529435 0.001603143           2    A"   95  3895.1748  0.604271
  1   0   0 15  3 12  3900.808906655 0.001590602           2    A'  100  3901.4146  0.605693
  1   0   0 20  2 18  3894.618222117 0.001807791           3    A'  109  3895.2256  0.607378
  1   1   0 10  2  8  4954.347063774 0.001135785           7    A'  193  4953.7392  0.607864
  1   1   0 10  2  9  4954.343778395 0.001153291           6    A"  169  4953.7352  0.608578
